id,o_S1,o_S2,o_S3,o_S4,o_S5,a_S1,a_S2,a_S3,a_S4,a_S5
MzA5NjUwOTYwOA==,70,59,60,53,59,0.598290598291,0.546296296296,0.48,0.490740740741,0.54128440367
MzA5NjY3MDYwNA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA5NjkxODM3Ng==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA5NzE5ODIyOQ==,10,35,30,36,13,1.0,0.921052631579,0.882352941176,0.923076923077,0.684210526316
MzA5NzMxNjAzMg==,0,0,1,1,1,0.0,0.0,0.00884955752212,0.00892857142857,0.00884955752212
MzA5NzgzMzU1OQ==,0,27,37,24,34,0.0,0.84375,0.948717948718,0.888888888889,0.871794871795
MzA5NzkzNDg2NA==,0,7,1,0,0,0.0,0.0109546165884,0.0014880952381,0.0,0.0
MzA5ODAzMzcyMA==,1,0,1,1,22,0.00408163265306,0.0,0.00338983050847,0.00374531835206,0.0791366906475
MzA5ODE5NjUzOQ==,0,1,24,8,40,0.0,0.00877192982456,0.146341463415,0.0462427745665,0.196078431373
MzA5ODExMjI3NQ==,0,6,0,0,0,0.0,0.3,0.0,0.0,0.0
MzA5ODY3NzYxNg==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzA5ODg2MTk4Nw==,1,0,0,0,1,0.00315457413249,0.0,0.0,0.0,0.00291545189504
MzA5OTEyMDg0MA==,49,101,81,7,31,0.355072463768,0.691780821918,0.54,0.0496453900709,0.22962962963
MzA5OTc0NjU0OA==,0,0,0,4,2,0.0,0.0,0.0,0.444444444444,0.222222222222
MzA5OTk2NjYwMg==,47,79,75,72,82,0.594936708861,0.858695652174,0.914634146341,0.9,0.796116504854
MzA5OTkwNDExNA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwMDExMTE1Ng==,73,17,51,1,15,0.164414414414,0.0355648535565,0.112582781457,0.00515463917526,0.0416666666667
MzAwMDI4NjY5OQ==,108,157,176,159,214,0.771428571429,0.754807692308,0.88,0.850267379679,0.918454935622
MzAwMDMxMTExNQ==,1,48,50,51,53,0.0188679245283,0.494845360825,0.531914893617,0.485714285714,0.546391752577
MzAwMDc2ODEyMQ==,0,41,56,28,13,0.0,0.394230769231,0.933333333333,0.153846153846,0.0393939393939
MzAwMDc3ODE1MQ==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MzAwMDc5MzI3Mg==,1,129,267,409,486,0.0263157894737,0.479553903346,0.698952879581,0.732974910394,0.705370101597
MzAwMTA0NDU5OQ==,0,1,28,3,0,0.0,0.00588235294118,0.271844660194,0.0315789473684,0.0
MzAwMjEyMzc0MA==,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
